code_9d,code_6d,system,subcode,description,source_file
,024-068,024,068,"Hardware, Mounting - Bus Entry Door Interior",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,004-000,004,000,Without Lawrence Descriptions,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-069,024,069,wiring Harness - Bus Entry Door Internal Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-070,024,070,Switch - Bus Entry Door Interior Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-071,024,071,Lamp Exterior - Bus Entry Door,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,004-070,004,070,Hardware Mounting Due Entry Deer Exterior,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-072,024,072,"Hardware, Mounting - Bus Entry Door Exterior",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-073,024,073,Lens - Bus Entry Door Exterior Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,004-074,004,074,Hardware Mounting Bus Entry Dear Exterior,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-074,024,074,"Hardware, Mounting - bus Entry Door Exterior",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-075,024,075,Wiring Harness - Bus Entry Door Exterior Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,004-076,004,076,Switch Bus Entry Door Lomp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-077,024,077,Seal - Bus Entry Door Exterior Lamp Lens,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-078,024,078,Lamp - Bus Passenger Reading,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-013,024,013,"Thardware, Mounting - Dus Fassenger Reading",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-080,024,080,Lens - Bus Passenger Reading Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-081,024,081,Hardware Mounting - Bus Passenger Reading,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-082,024,082,Wiring Harness - Bus Passenger Reading Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-083,024,083,Switch - Bus Passenger Reading Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,004-004,004,004,Indicator Visual Pus Pady Electrical System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-085,024,085,Relay - Bus Body Electrical System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-086,024,086,Resistor - Bus Body Electrical System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-087,024,087,Wiring Harposs Bus Vidoo Camora,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-007,024,007,Willing Hamess - Dus Video Camera,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-088,024,088,Switch - Bus Video Camera,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-089,024,089,Wiring Harness - Window Or Door Ajar Switch,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-090,024,090,Wiring Harness - Wheelchair Lift Door,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-091,024,091,"Lamp, Interior, Bus Emergency Door",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-092,024,092,"Hardware, Mounting - Bus Emergency Door",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-002,024,002,Long Pus Emorgonov Door Interior Long,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-093,024,093,Lens - Bus Emergency Door Interior Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-094,024,094,"Hardware, Mounting - Bus Emergency Door",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-005,024,005,Wiring Harposs Bus Emorgonov Door Interior,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-096,024,096,Seal - Bus Emergency Door Interior Lamp Lens,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-097,024,097,Wiring Harness - Childmate System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-098,024,098,Lens - School Bus 8 Way Stop Light,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-099,024,099,Flasher - School Bus 8 Way Stop Light,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-100,024,100,Cable - Control Bus Vandal Lock,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,004-101,004,101,Junction Block Bus Dady Electrical Oustor,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-101,024,101,Junction block - bus body Electrical System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-102,024,102,Mounting Bracket - Bus Door Vandal Lock,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,024-103,024,103,Lamp - Interior Bus Wheelchair Lift Door,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,001-110,001,110,Lamp,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,020-009,020,009,Passenner,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,005-010,005,010,Ston - School Rue Crossing Gate Arm,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,025-015,025,015,valve - School Bus Crossing Gate,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,174-028,174,028,,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,174-020,174,020,,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,174-000,174,000,,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,174-029,174,029,,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,020-001,020,001,Bracket,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-005,028,005,Evaporator Accombly Bus Body A/C Accombly,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-029,028,029,Condenser - Bus Body A/C System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,174-030,174,030,,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-035,028,035,Bracket - Bus Body A/C System Solenoid Valve,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-036,028,036,"Thermistor - In, Bus Body A/C System",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-037,028,037,Wiring Harness - Bus Body A/C System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-038,028,038,Temperature Control Module - Bus Body A/C,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,020-000,020,000,System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-020,028,020,Wiring Harpose Bus Body A/C System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,020-039,020,039,Temperature Centrel Medule,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,000-040,000,040,Company Temperature Due Badu A/O Quetere,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-040,028,040,"Sensor - Temperature, Bus Body A/C System",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-041,028,041,Mounting Bracket - Bus Body A/C System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-042,028,042,"Hose - Drain, Bus Body A/C System",VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-043,028,043,Fitting - Bus Body A/C System Drain Hose,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-044,028,044,Clamp - Bus Body A/C System Hose,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-045,028,045,Mounting Bracket - Bus Body A/C Control Panel,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-046,028,046,Line Suction - Bus Body A/C System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,020-040,020,040,Accumulator,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,000-047,000,047,Acculturator,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
,028-047,028,047,Mounting Bracket - Bus Body A/C System,VMRS_HB_COMPLETE_v20 page 10_pages_7-12.md
