PART,MANUFACTURER,DESCRIPTION,SYSTEM,COMPONENT,ASSEMBLY,constructed_code
8-97359808-0,ISUZU MOTORS LTD,LUG NUT,18,3,27,018-003-027
8-97360-110-0,ISUZU MOTORS LTD,PIN,16,0,0,016-000-000
8-97360-121-0,ISUZU MOTORS LTD,NUT,16,0,0,016-000-000
8-97360-125-0,ISUZU MOTORS LTD,NUT,16,0,0,016-000-000
8-97415-541-0,ISUZU MOTORS LTD,LID,2,11,,002-011-000
8974265140,ISUZU MOTORS LTD,PARKING BRAKE CONTROL LEVER,13,3,,013-003-000
8-98012-864-0,ISUZU MOTORS LTD,"DRUM, BRAKE, PARKING",13,3,22,013-003-022
8-98031-846-0,AMERICAN ISUZU MTRS,LOCK: TRAY INST,2,11,,002-011-000
8-98034-305-0,ISUZU MOTORS LTD,PARKING BRAKE,13,3,0,013-003-000
8-98039-778-3,ISUZU MOTORS LTD,LAMP,34,4,0,034-004-000
8-98039-779-3,ISUZU MOTORS LTD,LAMP,34,4,0,034-004-000
8-98079-393-0,ISUZU MOTORS LTD,"NUT, COUPLING",18,6,1,018-006-001
8-98108-913-0,AMERICAN ISUZU MTRS,STRIKER,2,17,,002-017-000
8-98164-729-0,ISUZU MOTORS LTD,SPRING,16,2,,016-002-000
8-98164-730-0,ISUZU MOTORS LTD,SPRING,16,2,0,016-002-000
8-98178-180-1,ISUZU MOTORS LTD,SURGE TANK,42,2,9,042-002-009
8-98219-324-0,ISUZU MOTORS LTD,PIPE,43,1,,043-001-000
89925061,GENERAL MOTORS CORP,HVAC KNOB,1,1,454,001-001-454
89996B,MOTOR WHEEL CORP.,"DRUM, BRAKE, 16.50"" X 7.00""",13,2,23,013-002-023
8C2Z-1015-E,FORD MOTOR CO,"Wheel, Steel",18,3,1,018-003-001
8C2Z-16005-B,FORD MOTOR CO,FENDER,2,2,4,002-002-004
8C2Z-16006-B,FORD MOTOR CO,"FENDER,ASSEMBLY,FRONT",2,2,1,002-002-001
8C2Z-17626-AA,FORD MOTOR CO,PANEL,2,8,1,002-008-001
8C2Z-17626-AACP,FORD MOTOR CO,PANEL,14,2,14,014-002-014
8C2Z-17757-B,FORD MOTOR CO,BUMPER,2,26,1,002-026-001
8C2Z-17757-BCP,FORD MOTOR CO,BUMPER ASSEMBLY,14,2,1,014-002-001
8C2Z-17A385-AA,FORD MOTOR CO,BRACKET- LICENSE PLATE,14,2,6,014-002-006
8C2Z-17B883-A,FORD MOTOR CO,"BUMPER,FACE,BAR,BRACKET",14,2,5,014-002-005
8C2Z-18124-C,FORD MOTOR CO,"SHOCK, ABSORBER FRONT",16,0,0,016-000-000
8C2Z-1A189-A,FORD MOTOR CO,"KIT, TPM",0,0,0,000-000-000
8C2Z-2001-C,FORD MOTOR CO,"PADS, BRAKE, FRONT",13,1,139,013-001-139
8C2Z-2200-A,FORD MOTOR CO,"PADS, BRAKE, REAR",13,2,137,013-002-137
8C2Z-2648-A,FORD MOTOR CO,"SHOE, BRAKE, REAR",13,2,120,013-002-120
8C2Z-2B120-A,FORD MOTOR CO,"BRAKE,CALIPER,RH",13,13,1,013-013-001
8C2Z-2B121-A,FORD MOTOR CO,"BRAKE,CALIPER,LH",13,13,,013-013-000
8C2Z-2C026-C,FORD MOTOR CO,"ROTOR, ASSY, REAR",13,2,124,013-002-124
8C2Z-3050-A,FORD MOTOR CO,JOINT,16,0,0,016-000-000
8C2Z-7890-C,FORD MOTOR CO,HOSE- OIL COOLER,42,2,86,042-002-086
8C2Z-8000-B,FORD MOTOR CO,"GRILL,RADIATOR",2,1,1,002-001-001
8C2Z-8A284-A,FORD MOTOR CO,"RADIATOR,SUPPORT,PANNEL,UPPER",42,2,184,042-002-184
8C2Z-8A284-C,FORD MOTOR CO,"RADIATOR,SUPPORT,PANEL,LOWER",42,2,184,042-002-184
8C2Z-9030-B,FORD MOTOR CO,"CAP , GAS",44,12,21,044-012-021
8C3Z-17664-A,FORD MOTOR CO,"PUMP, FLUID, WINDSHIELD WASHER",2,35,25,002-035-025
8C3Z-1A124-A,FORD MOTOR CO,"NUT, HUB",18,1,8,018-001-008
8C3Z-1A125-A,FORD MOTOR CO,NUT,18,2,4,018-002-004
8C3Z-2513562-AD,FORD MOTOR CO,CUP HOLDER,2,0,0,002-000-000
8C3Z-2V200-B,FORD MOTOR CO,"PADS, BRAKE, REAR",13,2,137,013-002-137
8C3Z-3049-B,FORD MOTOR CO,JOINT,16,0,0,016-000-000
8C3Z-7A098-D,FORD MOTOR CO,"FILTER, OIL, TRANSMISSION",27,36,4,027-036-004
8C3Z-9030-A,FORD MOTOR CO,FUEL CAP,44,1,2,044-001-002
