PART,MANUFACTURER,DESCRIPTION,CLASS,SYSTEM,COMPONENT,ASSEMBLY,ACTIVE,COMPLETE VMRS,COMPLETE CLASS,word_count,usable
WF2128,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2129,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,1,Y,YES,YES,3,True
WF2187,FLEETGUARD,"FILTER, COOLANT, ENGINE",FILTERS,42,7,2,Y,YES,YES,3,True
WL10290,WIX CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
WL7515,WIX CORP,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
WP10090,WIX CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
WP10129,WIX CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
WP10266,WIX CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
WP10655,WIX CORP,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
X002252,"DONALDSON CO., INC.","GAUGE, RESTRICTION, FILTER",FILTERS,41,1,42,Y,YES,YES,3,True
X002277,"DONALDSON CO., INC.","GAUGE, RESTRICTION, FILTER",FILTERS,41,1,42,Y,YES,YES,3,True
XC10491,ECOGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
XC36174,ECOGARD,"FILTER, AIR, CABIN",FILTERS,1,1,219,Y,YES,YES,3,True
ZGG19844,NAVISTAR,"FILTER, A/C, RECEIVER/DRYER",FILTERS,1,1,438,Y,YES,YES,3,True
ZS1059789,GARDNER DENVER,"FILTER, OIL, COMPRESSOR",FILTERS,361,9,0,Y,YES,YES,3,True
ZS1059791,GARDNER DENVER,"FILTER, SEPARATOR, AIR/OIL",FILTERS,361,9,0,Y,YES,YES,3,True
ZS1060578,GARDNER DENVER,"FILTER, AIR, COMPRESSOR",FILTERS,361,9,0,Y,YES,YES,3,True
