PART,MANUFACTURER,DESCRIPTION,NOTES,Review Notes,MANF_PARTMFR,MANF_PARTMFR_NAME,MANF_PARTNUMBER,Match,MANF_SPARTNUMBER,VMRS,SYSTEM_,ASSEMBLY_,COMPONENT_
DC3Z-2C204-D,FORD MOTOR CO,SENSOR ASSY,,,FORDX,"FORD, A DIVISION OF FORD MOTOR CO.",DC3Z-2C204-D,1.0,DC3Z2C204D,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
E17778,"EUCLID INDS, INC.",ABS WHEEL SPEED SENSOR,,,EUCLI,"EUCLID INDUSTRIES, INC.",E17778,1.0,E17778,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
FC5335,FLEETCRAFT,"SENSOR, ABS 90 DEGREE 12 INCH",,,NEWLF,NEW LIFE,FC5335,1.0,FC5335,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
K153775,"BENDIX CORP, THE","SENSOR, ABS SPEED",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K153775,1.0,K153775,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
K181265,"BENDIX CORP, THE","SENSOR, WHEEL SPEED",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K181265,1.0,K181265,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
K181267,"BENDIX CORP, THE",WS 24 WHEEL SPEEND SENSOR 64.4,,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K181267,1.0,K181267,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
K221570,"BENDIX CORP, THE","SENSOR, WHEEL SPEED",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K221570,1.0,K221570,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
K221578,"BENDIX CORP, THE","WHEEL, SPEED, SENSOR",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K221578,1.0,K221578,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
K4150,FULLER TRANSMISSION,SPEED SENSOR,,,EATON,EATON CORPORATION,K4150,1.0,K4150,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
KK3Z-2C190-E,FORD MOTOR CO,ABS SENSOR,,,FORDX,"FORD, A DIVISION OF FORD MOTOR CO.",KK3Z-2C190-E,1.0,KK3Z2C190E,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
LV6Z-2C204-A,FORD MOTOR CO,SENSOR AS,,,FORDX,"FORD, A DIVISION OF FORD MOTOR CO.",LV6Z-2C204-A,1.0,LV6Z2C204A,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
M955338,MERITOR WABCO,"SENSOR, ABS KIT",,,MERTR,MERITOR INC.,M955338,1.0,M955338,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
OTR801542,MERITOR WABCO,OTR SPEED SENSOR STRT 78 F/B,,,OTRBR,"OTR, FLEETPRIDE",OTR-801542,0.0,OTR801542,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955329,MERITOR WABCO,"SENSOR, ABS, STRAIGHT, 1.7M",,,MERTR,MERITOR INC.,R955329,1.0,R955329,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955335,MERITOR N.A.,"SENSOR, ABS",,,MERTR,MERITOR INC.,R955335,1.0,R955335,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955337,MERITOR WABCO,ABS SENSOR,,,MERTR,MERITOR INC.,R955337,1.0,R955337,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955338,ARVINMERITOR,"TRANSMITTER, SPEED SENSOR",,,MERTR,MERITOR INC.,R955338,1.0,R955338,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955341,FREIGHTLINER,WHEEL SPEED SENSOR,,,MERTR,MERITOR INC.,R955341,1.0,R955341,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955342,ZF MERITOR,"SENSOR, ABS, RIGHT ANGLE, 2M",,,MERTR,MERITOR INC.,R955342,1.0,R955342,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955349,ZF WABCO,"KIT, ABS SENSOR",,,MERTR,MERITOR INC.,R955349,1.0,R955349,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955355,MERITOR N.A.,"VALVE, MODULATOR, ABS, KIT",,,MERTR,MERITOR INC.,R955355,1.0,R955355,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955603,MERITOR N.A.,"SENSOR, ABS",,,MERTR,MERITOR INC.,R955603,1.0,R955603,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955604,FREIGHTLINER,SENSOR ABS KIT,,,MERTR,MERITOR INC.,R955604,1.0,R955604,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
R955605,ZF WABCO,"SENSOR, SPEED, 90, ABS, 1.7M",,,MERTR,MERITOR INC.,R955605,1.0,R955605,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
RW-S4410328080,WABCO AUTOMOTIVE,"ABS,WHEEL,SENSOR,KIT",,,WABCO,WABCO,4410328080,0.0,4410328080,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
S-22889-3,HENDRICKSON,"SENSOR, ABS STRAIGHT 39.4"" - A",,,HNDIN,HENDRICKSON INTERNATIONAL CORPORATION,S-22889-3,1.0,S228893,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
SS12254,DELPHI AUTOMOTIVE,WHEEL SPEED SENSOR,,,DELPH,DELPHI AUTOMOTIVE SYSTEMS,SS12254,1.0,SS12254,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
STDALS505,OREILLY AUTO PARTS,ABS SPEED SENSOR,,,STDMT,"STANDARD MOTOR PRODUCTS, INC.",ALS505,0.0,ALS505,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
WN4410309042,UTILITY,ABS SENSOR KIT,,,WABCO,WABCO,441 030 904 2,0.0,4410309042,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
364062,"BENDIX CORP, THE",ABS SENSOR 90 DEG,UNABLE TO VERIFY,,,,,,,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
A801543,VOLVO,ABS SENSOR STRAIT HEAD,UNABLE TO VERIFY,,,,,,,013-011-002,BRAKES,"ABS, ANTI-LOCK SYSTEM",SENSOR - WHEEL SPEED
10-14234-000,FREIGHTLINER,BRKT SENSOR BOLT,,,FRGHT,FREIGHTLINER CORPORATION,10-14234-000,1.0,1014234000,013-011-003,BRAKES,"ABS, ANTI-LOCK SYSTEM","BRACKET - SENSOR, WHEEL SPEED"
CM10023940,KENWORTH TRUCK CO,BRACKET ABS SENSOR,,,PACCR,PACCAR CORPORATION,CM10023940,1.0,CM10023940,013-011-003,BRAKES,"ABS, ANTI-LOCK SYSTEM","BRACKET - SENSOR, WHEEL SPEED"
S-28757,HENDRICKSON,"ABS,BRACKET",,,HNDIN,HENDRICKSON INTERNATIONAL CORPORATION,S-28757,1.0,S28757,013-011-003,BRAKES,"ABS, ANTI-LOCK SYSTEM","BRACKET - SENSOR, WHEEL SPEED"
4497130130,MERITOR WABCO,"EXTENSION, 1.3 M SENSOR",,,WABCO,WABCO,4497130130,1.0,4497130130,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
4497130180,ARVINMERITOR,"CABLE, EXTENSION, ABS, 90 DEG",,,WABCO,WABCO,4497130180,1.0,4497130180,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
4497130300,MERITOR WABCO,ABS SENSOR EXTENSION CABLE,,,WABCO,WABCO,4497130300,1.0,4497130300,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
4497131200,MERITOR WABCO,ABS SENSOR EXTENSION CABLE,,,WABCO,WABCO,4497131200,1.0,4497131200,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
577.A7130300,MERITOR WABCO,"ABS SENSOR EXTENSION 120""",,,AUTMN,"AUTOMANN, INC",577.A7130300,1.0,577A7130300,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
577.A919804,AUTOMANN,SENSOR EXTENTION,,,AUTMN,"AUTOMANN, INC",577.A919804,1.0,577A919804,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
802025,"BENDIX CORP, THE","SENSOR, WHEEL SPEED, 80"" EXT",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,802025,1.0,802025,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
AL919802,HALDEX,"EXTENSION, CABLE LEAD ABS SENS",,,HALDX,HALDEX,AL919802,1.0,AL919802,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
AL919803,HALDEX,CABLE- ABS EXTENTION 72'',,,HALDX,HALDEX,AL919803,1.0,AL919803,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
AL919806,HALDEX,"EXTENSION CABLE,ABS",,,HALDX,HALDEX,AL919806,1.0,AL919806,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
GDP40513207,GREAT DANE,"CABLE, ABS",,,GRTDN,GREAT DANE TRAILERS,GDP40513207,1.0,GDP40513207,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
OTR955341,OTR - OVER THE ROAD,"SENSOR, 90 DEGREE",,,OTRBR,"OTR, FLEETPRIDE",OTR955341,1.0,OTR955341,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
S174497130180,MERITOR WABCO,"2 PIN FEMALE, 90 DEGREE SENSOR",,,MERTR,MERITOR INC.,S4497130180,0.0,S4497130180,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
S449-713-030-0,ZF MERITOR,EXTENSION CABLE,,,MERTR,MERITOR INC.,S449-713-030-0,1.0,S4497130300,013-011-004,BRAKES,"ABS, ANTI-LOCK SYSTEM",CABLE - WHEEL TO CONTROLLER - SENSOR
4725002250,WABCO AUTOMOTIVE,"MODULE, ABS VALVE",,,WABCO,WABCO,4725002250,1.0,4725002250,013-011-006,BRAKES,"ABS, ANTI-LOCK SYSTEM","VALVE - HYDRAULIC, ABS SYSTEM"
4493260470,ZF WABCO,POWER CABLE,,,WABCO,WABCO,4493260470,1.0,4493260470,013-011-018,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - ABS, COILED"
449-326-047-0,MERITOR WABCO,ABS POWER CABLE,,,WABCO,WABCO,4493260470,0.0,4493260470,013-011-018,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - ABS, COILED"
FLTCE621,FLEETRITE,"CABLE, 7-WAY, ABS, 15'",,,FLTRT,FLEETRITE,FLTCE621,1.0,FLTCE621,013-011-018,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - ABS, COILED"
PE15340,TRP PARTS,"CABLE, 7-WAY, ABS, 15'",,,TRPPC,TRP PARTS,PE15340,1.0,PE15340,013-011-018,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - ABS, COILED"
PE15840,TRP PARTS,"CABLE, 7-WAY, ABS, 15'",,,TRPPC,TRP PARTS,PE15840,1.0,PE15840,013-011-018,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - ABS, COILED"
PROEL1512G,PRO-PAR,"CABLE, 7-WAY, ABS, 15'",,,AUROA,"AURORA PARTS AND ACCESSORIES, LLC",PROEL1512G,1.0,PROEL1512G,013-011-018,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - ABS, COILED"
CM10086542,CONMET,ABS SERVICE KIT- TRCK,,,CONMT,CONMET,10086542,0.0,10086542,013-011-019,BRAKES,"ABS, ANTI-LOCK SYSTEM",REPAIR KIT - ABS SYSTEM
WAB 400 612 010 0,FREIGHTLINER,ANTILK BRK SYS RPLCMNT,,,FRGHT,FREIGHTLINER CORPORATION,WAB 400 612 010 0,1.0,WAB4006120100,013-011-019,BRAKES,"ABS, ANTI-LOCK SYSTEM",REPAIR KIT - ABS SYSTEM
4721950950,ZF WABCO,"VALVE, MODULATOR, ABS",,,WABCO,WABCO,4721950950,1.0,4721950950,013-011-068,BRAKES,"ABS, ANTI-LOCK SYSTEM","RELAY VALVE - MODULATOR, ANTILOCK BRAKES"
K078420,AUTOMANN,ATR6 TRACTION RELAY VALVE,,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K078420,1.0,K078420,013-011-068,BRAKES,"ABS, ANTI-LOCK SYSTEM","RELAY VALVE - MODULATOR, ANTILOCK BRAKES"
04-9650-0-338,UTILITY,ABS HARNESS,,,UTLTY,UTILITY TRAILER MANUFACTURING CO.,04-9650-0-338,1.0,0496500338,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
179.3010.15,AUTOMANN,"CABLE, 7-WAY, ABS, 15'",,,AUTMN,"AUTOMANN, INC",179.3010.15,1.0,179301015,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
4491331500,WABCO AUTOMOTIVE,"CABLE, 24V CAN INTERFACE",,,WABCO,WABCO,4491331500,1.0,4491331500,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
4497230300,ZF WABCO,"SENSOR, RSS",,,WABCO,WABCO,4497230300,1.0,4497230300,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
51173,IMPERIAL SUPPLIES,"CORD, AIR/POWER, 3-IN-1, 12'",,,IMPER,IMPERIAL PRODUCTS,51173,1.0,51173,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
51180,IMPERIAL SUPPLIES,"CORD, AIR/POWER, 3-IN-1, 15'",,,IMPER,IMPERIAL PRODUCTS,51180,1.0,51180,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
8946073120,MERITOR WABCO,"CORD, ABS POWER",,,MERTR,MERITOR INC.,8946073120,1.0,8946073120,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
91192,IMPERIAL SUPPLIES,3 IN 1 15 FT HOSE/AIR LINES,,,IMPER,IMPERIAL PRODUCTS,91192,1.0,91192,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
GEN2-3120,"DAYTON PARTS, INC.",ABS POWER CORD,,,GLBTC,"GLOBE TECH MANUFACTURING, INC.",GEN2-3120,1.0,GEN23120,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
WBC8946049450,FREIGHTLINER,ABS EASY- STOP 13',,,MERTR,MERITOR INC.,8946049450,0.0,8946049450,013-011-070,BRAKES,"ABS, ANTI-LOCK SYSTEM","CABLE - POWER SOURCE TO CONTROLLER, ANTILOCK"
22882125,"MACK TRUCKS, INC.","VALVE, ABS RELAY",,,MACKX,"MACK TRUCKS, INC.",22882125,1.0,22882125,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
25-FL855-001,WABCO AUTOMOTIVE,WABCO KIT,,,FRGHT,FREIGHTLINER CORPORATION,25-FL855-001,1.0,25FL855001,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
25-FL958-000,FREIGHTLINER,"VALVE, MODULATOR, ABS, FL958",,,FRGHT,FREIGHTLINER CORPORATION,25-FL958-000,1.0,25FL958000,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
4005001010,ZF WABCO,"VALVE, ABS, TRAILER, TCS-2",,,WABCO,WABCO,4005001010,1.0,4005001010,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
4721950520,ZF WABCO,"VALVE, MODULATOR, ABS",,,WABCO,WABCO,472 195 052 0,0.0,4721950520,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
472-195-052-0,MERITOR WABCO,MODULATOR VALVE,,,WABCO,WABCO,472 195 052 0,0.0,4721950520,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
85153115,VOLVO,"VALVE, MODULATOR",,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",85153115,1.0,85153115,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
976 000 107 0,WABCO AUTOMOTIVE,"VALVE,ABS,COMBO",,,WABCO,WABCO,976 000 107 0,1.0,9760001070,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
A12-24096-000,FREIGHTLINER,"VALVE, ASSEMBLY",,,FRGHT,FREIGHTLINER CORPORATION,A12-24096-000,1.0,A1224096000,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
CTT00008713,OTTAWA TRUCKS NA,VALVE BRAKE ABS,,,OTTST,"OTTAWA TRUCK DIV., GULF WESTERN MFG. CO.",CTT00008713,1.0,CTT00008713,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K079665,"BENDIX CORP, THE",VALVE ABS MODULATOR RMAN,,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K079665,1.0,K079665,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K079670,"BENDIX CORP, THE","VALVE, MODULATOR",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K079670,1.0,K079670,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K079670OR,"BENDIX CORP, THE","VALVE, MODULATOR, ABS",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K079670OR,1.0,K079670OR,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K109808,"BENDIX CORP, THE","ABS MODULE, TRAILER",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K109808,1.0,K109808,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K128912OR,"BENDIX CORP, THE","MODULATOR,VALVE,ABS",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K128912OR,1.0,K128912OR,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K128913OR,"BENDIX CORP, THE","VALVE, MODULATOR, ABS",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K128913OR,1.0,K128913OR,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K128914OR,"BENDIX CORP, THE","VALVE, MODULATOR-ANITBRAKE",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K128914OR,1.0,K128914OR,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K128915SC,"BENDIX CORP, THE",ABS MODULATOR VALVE,,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K128915SC,1.0,K128915SC,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
K128916OR,"BENDIX CORP, THE","VALVE, ANTILOCK, BRAKE SYSTEM",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,K128916OR,1.0,K128916OR,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
S472-195-078-0,MERITOR WABCO,"MODULATOR VALVE, ABS",,,MERTR,MERITOR INC.,S472-195-078-0,1.0,S4721950780,013-011-071,BRAKES,"ABS, ANTI-LOCK SYSTEM",MODULATOR VALVE - ANTILOCK BRAKES
25879231,ACDELCO,"VALVE, 3 TERMINAL ABS",,,GMXXX,GENERAL MOTORS CORPORATION,25879231,1.0,25879231,013-011-072,BRAKES,"ABS, ANTI-LOCK SYSTEM",CONTROLLER/MODULATOR VALVE ASSEMBLY - ANTILOCK
85143184,VOLVO,"VALVE, BRAKE MODULATOR",,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",85143184,1.0,85143184,013-011-072,BRAKES,"ABS, ANTI-LOCK SYSTEM",CONTROLLER/MODULATOR VALVE ASSEMBLY - ANTILOCK
85144378,VOLVO,MODULATOR,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",85144378,1.0,85144378,013-011-072,BRAKES,"ABS, ANTI-LOCK SYSTEM",CONTROLLER/MODULATOR VALVE ASSEMBLY - ANTILOCK
23103633,"BENDIX CORP, THE",CONTROL UNIT / ANTILOCK BRK,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",23103633,1.0,23103633,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
3572463C1,INTERNATIONAL,"CONTROL, ABS COMPUTER",,,NVSTR,NAVISTAR INTERNATIONAL TRANSPORTATION CORP.,3572463C1,1.0,3572463C1,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
4005001020,ZF WABCO,"VALVE, MODULATOR, ABS",,,WABCO,WABCO,4005001020,1.0,4005001020,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
4005001030,ZF WABCO,"VALVE, MODULE, ABS, W/ECU",,,WABCO,WABCO,4005001030,1.0,4005001030,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
4005004300,WABCO AUTOMOTIVE,IABS 2M PREMIUM (MODULATOR VAL,,,WABCO,WABCO,4005004300,1.0,4005004300,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
4008600000,ZF WABCO,"ECU, PROGRAMMABLE, ABS",,,WABCO,WABCO,400 860 000 0,0.0,4008600000,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
4008640090,ZF WABCO,"ECU, ABS, W/ATC",,,WABCO,WABCO,4008640090,1.0,4008640090,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
4008671040,WABCO AUTOMOTIVE,MODULE ECU ABS,,,WABCO,WABCO,4008671040,1.0,4008671040,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
4460650950,ZF WABCO,"ECU, ABS-E, FRAME, 12V, 6S/6M",,,WABCO,WABCO,4460650950,1.0,4460650950,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
84055066,FREIGHTLINER,MODULE ASM ELEK BRK CONT,,,GMXXX,GENERAL MOTORS CORPORATION,84055066,1.0,84055066,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
AL919338,HALDEX,ELECTRONIC CONTROL UNIT 12V,,,HALDX,HALDEX,AL919338,1.0,AL919338,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
AL919348,HALDEX,ABS ELECTRONIC CONTROL UNIT,,,HALDX,HALDEX,AL919348,1.0,AL919348,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
WAB/400-860-000-0 H6,MERITOR WABCO,ECU,,,WABCO,WABCO,400 860 000 0,0.0,4008600000,013-011-076,BRAKES,"ABS, ANTI-LOCK SYSTEM",ELECTRONIC CONTROL UNIT (ECU) - ANTILOCK BRAKES
801931,"BENDIX CORP, THE",VALVE TRACTION CONTROL,,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,801931,1.0,801931,013-011-077,BRAKES,"ABS, ANTI-LOCK SYSTEM",TRACTION CONTROL VALVE (TCV) - ANTILOCK BRAKES
A06-53783-822,FREIGHTLINER,"SWITCH-MSF,HWD,HSA OVRD",,,FRGHT,FREIGHTLINER CORPORATION,A06-53783-822,1.0,A0653783822,013-011-078,BRAKES,"ABS, ANTI-LOCK SYSTEM","SWITCHES - RELAY, ELECTRICAL"
4494410300,MERITOR WABCO,ABS MODULATOR CONNECTOR,,,WABCO,WABCO,4494410300,1.0,4494410300,013-011-085,BRAKES,"ABS, ANTI-LOCK SYSTEM",WIRING HARNESS (LEAD) - MODULATOR VALVE TO ELECTRONIC CONTROL UNIT
801996,"BENDIX CORP, THE","HARNESS, ABS",,,BENDX,BENDIX COMMERCIAL VEHICLE SYSTEMS,801996,1.0,801996,013-011-085,BRAKES,"ABS, ANTI-LOCK SYSTEM",WIRING HARNESS (LEAD) - MODULATOR VALVE TO ELECTRONIC CONTROL UNIT
